team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
PSV Eindhoven,2.7572254335260116,477,173,3.23121387283237,2.8440860215053765,529.0,186.0,3.274193548387097,2.800655727515694,3.252703710609733,359.0,0.5,0.2
Paris Saint-Germain,3.4133858267716537,7803,2286,3.1727909011373576,3.3605985037406483,6738.0,2005.0,3.2608478802992518,3.386992165256151,3.216819390718305,4291.0,0.5,0.2
Parma,1.9880952380952381,167,84,1.6071428571428572,1.7974683544303798,142.0,79.0,1.7468354430379747,1.8927817962628088,1.676989150090416,163.0,0.5,0.2
Pays-Bas,1.8066298342541436,327,181,1.276243093922652,1.8266666666666667,137.0,75.0,1.0533333333333332,1.8166482504604051,1.1647882136279926,256.0,0.5,0.2
Piemonte Calcio (Juventus),2.6113475177304966,1841,705,2.4638297872340424,2.43312101910828,1146.0,471.0,2.694267515923567,2.522234268419388,2.5790486515788045,1176.0,0.5,0.2
Pologne,1.5747126436781609,137,87,1.7701149425287357,1.323943661971831,94.0,71.0,2.1267605633802815,1.449328152824996,1.9484377529545087,158.0,0.5,0.2
Porto,2.6476190476190475,556,210,2.7,2.5502645502645502,482.0,189.0,2.6560846560846563,2.598941798941799,2.678042328042328,399.0,0.5,0.2
Portugal,1.950354609929078,275,141,1.0141843971631206,1.7692307692307692,138.0,78.0,1.205128205128205,1.8597926895799235,1.1096563011456628,219.0,0.5,0.2
Qatar,0.9113924050632911,72,79,2.5063291139240507,0.7974683544303798,63.0,79.0,2.151898734177215,0.8544303797468354,2.329113924050633,158.0,0.5,0.2
Rangers,1.5294117647058822,130,85,1.576470588235294,1.5888888888888888,143.0,90.0,1.511111111111111,1.5591503267973854,1.5437908496732025,175.0,0.5,0.2
Rayo Vallecano,1.5384615384615385,80,52,2.173076923076923,1.3275862068965518,77.0,58.0,1.9310344827586208,1.4330238726790452,2.0520557029177717,110.0,0.5,0.2
Real Betis,1.4193548387096775,88,62,1.3870967741935485,1.7868852459016393,109.0,61.0,1.5245901639344261,1.6031200423056584,1.4558434690639874,123.0,0.5,0.2
Real Madrid,3.417318727177882,6551,1917,3.153886280646844,3.2312312312312312,6456.0,1998.0,3.079079079079079,3.3242749792045565,3.1164826798629615,3915.0,0.5,0.2
Real Oviedo,1.2777777777777777,23,18,1.8333333333333333,1.7894736842105263,34.0,19.0,1.6842105263157894,1.5336257309941521,1.7587719298245612,37.0,0.5,0.2
Real Sociedad,2.1214285714285714,297,140,1.4142857142857144,1.8248175182481752,250.0,137.0,1.3065693430656935,1.9731230448383732,1.360427528675704,277.0,0.5,0.2
Real Valladolid,1.25,50,40,1.9,1.558139534883721,67.0,43.0,2.0232558139534884,1.4040697674418605,1.9616279069767442,83.0,0.5,0.2
Red Bull,7.809523809523809,1312,168,7.166666666666667,7.636363636363637,1260.0,165.0,7.321212121212121,7.722943722943723,7.243939393939394,333.0,0.5,0.2
Roma,4.518987341772152,2142,474,4.487341772151899,4.179310344827586,1818.0,435.0,3.995402298850575,4.349148843299869,4.241372035501237,909.0,0.5,0.2
République tchèque,1.734375,111,64,1.296875,0.0,0.0,0.0,0.0,0.8671875,0.6484375,64.0,0.5,0.2
Sheffield United,6.856060606060606,905,132,7.840909090909091,7.244897959183674,1065.0,147.0,7.673469387755102,7.05047928262214,7.757189239332096,279.0,0.5,0.2
Southampton,1.2535211267605635,89,71,1.8309859154929577,1.4583333333333333,105.0,72.0,1.8888888888888888,1.3559272300469485,1.8599374021909232,143.0,0.5,0.2
